Group,Optimizer,Loop,JoinOrder,Reward,Duration
14a.sql,Dynamic Programming,NULL,4--0---7--6---5---3---2---1---,NULL,1303.84
25a.sql,Dynamic Programming,NULL,7--0---8--6---5---4---3---2---1---,NULL,2976.1
12c.sql,Dynamic Programming,NULL,5--2---4--0---1---7--6---3----,NULL,874.921
16d.sql,Dynamic Programming,NULL,6--0---1---7--5---4---3---2---,NULL,4462.52
20a.sql,Dynamic Programming,NULL,8--4---3---7--5---9--6---1--0---2-----,NULL,1010.13
6e.sql,Dynamic Programming,NULL,4--2---1---3--0---,NULL,410.945
3c.sql,Dynamic Programming,NULL,3--2---1---0--,NULL,1764.84
8c.sql,Dynamic Programming,NULL,6--5--3--2---4--1------0--,NULL,4582.34
11b.sql,Dynamic Programming,NULL,5--2---4--0---1---7--6---3----,NULL,114.368
21b.sql,Dynamic Programming,NULL,6--2---4--0---1---8--7---3-----5--,NULL,538.91
19b.sql,Dynamic Programming,NULL,2--1---8---7--0----9--6---5---4---3---,NULL,1116.29
24a.sql,Dynamic Programming,NULL,2--1---10---9--0----11--8---7---6---5---4---3---,NULL,1553.9
1a.sql,Dynamic Programming,NULL,4--3---2---1---0--,NULL,325.582
23a.sql,Dynamic Programming,NULL,8--4---9--5---7--2---3---10--6---1--0------,NULL,542.29
29c.sql,Dynamic Programming,NULL,5--4---15---14--0---8---13----11--7---12--9---10--6---2--1---3---16------,NULL,1504.24
22a.sql,Dynamic Programming,NULL,7--2---9--4---6--0---1---10--5---8--3------,NULL,919.768
26c.sql,Dynamic Programming,NULL,4--3---10---9--6---11--7---8--5---1--0---2------,NULL,991.075
27a.sql,Dynamic Programming,NULL,9--5---7--3---4---1--0---2---10--6----11-----8--,NULL,653.504
17c.sql,Dynamic Programming,NULL,6--4---3---2---1---5--0---,NULL,1186.33
30b.sql,Dynamic Programming,NULL,10--3---7--4---9--6---8--5---1--0---2----11-----,NULL,1616.67
3b.sql,Dynamic Programming,NULL,3--2---1---0--,NULL,533.606
18b.sql,Dynamic Programming,NULL,6--4---3---2---1---5--0---,NULL,1306.37
33b.sql,Dynamic Programming,NULL,7--0---12--4---9--2---11--6----10--3-----13--5-----8--1---,NULL,428.316
1c.sql,Dynamic Programming,NULL,4--3---2---1---0--,NULL,146.446
31c.sql,Dynamic Programming,NULL,9--0---6--2---8--4---5--1---7--3---10------,NULL,2449.45
28b.sql,Dynamic Programming,NULL,10--5---12--7---9--3---4---13--8---11--6---1--0---2-------,NULL,779.283
7a.sql,Dynamic Programming,NULL,7--4---3---1---6--0---2---5---,NULL,600.934
4a.sql,Dynamic Programming,NULL,4--3---2---1---0--,NULL,309.64
16b.sql,Dynamic Programming,NULL,6--0---1---7--5---4---3---2---,NULL,6152.42
18c.sql,Dynamic Programming,NULL,6--4---3---2---1---5--0---,NULL,2214.8
20b.sql,Dynamic Programming,NULL,8--4---3---7--5---9--6---1--0---2-----,NULL,470.965
9a.sql,Dynamic Programming,NULL,7--4---3---6--2----1---5--0---,NULL,938.108
22c.sql,Dynamic Programming,NULL,7--2---9--4---6--0---1---10--5---8--3------,NULL,1460.27
22d.sql,Dynamic Programming,NULL,7--2---9--4---6--0---1---10--5---8--3------,NULL,1584.36
2b.sql,Dynamic Programming,NULL,4--3---2---1---0--,NULL,1099.19
8d.sql,Dynamic Programming,NULL,6--5--3--2---4--1------0--,NULL,3394.38
32b.sql,Dynamic Programming,NULL,5--4--3----2---1---0--,NULL,371.079
9c.sql,Dynamic Programming,NULL,7--4---3---6--2----1---5--0---,NULL,1168.99
12b.sql,Dynamic Programming,NULL,5--2---4--0---1---7--6---3----,NULL,229.49
17b.sql,Dynamic Programming,NULL,6--4---3---2---1---5--0---,NULL,1268.05
